asn_org,unique_ips,provider_count,asn_count,country_count,top_providers
THORDC-AS,10,7,1,1,WiTopia (4); GhostPath (1); IVPN (1); Le VPN (1); PrivateVPN (1); Proxpn (1); Sentinel dVPN (1)
WERIDATA-LLC,10,1,1,1,Sentinel dVPN (10)
WIPAK-AS,10,1,1,1,Vpnht (10)
XTOM xTom GmbH,10,2,1,1,Sentinel dVPN (6); Astrill (4)
AFRIHOST-SP,9,1,1,1,Windscribe (9)
AMARUTU-TECHNOLOGY,9,3,1,2,PureVPN (6); Ivacy (2); Trust.Zone (1)
ASN-XTUDIONET,9,4,1,1,Anonine (9); BoxPN (9); EasyHideIP (9); FrootVPN (9)
CHERRYSERVERS1-AS,9,3,1,1,Astrill (4); Psiphon (4); VPN.ac (1)
CYBERCON,9,1,1,1,Astrill (9)
DEXDC,9,1,1,1,Sentinel dVPN (9)
H2NEXUS-AS,9,3,1,1,Sentinel dVPN (4); SotaVPN (4); FlowVPN (1)
I-SERVERS-EAST,9,1,1,1,Sentinel dVPN (9)
ITL-BG,9,3,1,2,WorldVPN (5); AnonymousVPN (2); VPN Jantit (2)
MAJESTIC-HOSTING-01,9,2,1,1,Sentinel dVPN (6); Astrill (3)
ONLYSERVERS Dedicated Server Hosting Provider,9,3,1,1,Vpnht (5); Kompot VPN (3); Sentinel dVPN (1)
OWL-AS-AP Owl Limited,9,2,1,1,Mullvad (8); AzireVPN (1)
PRIVATE-NETWORKS,9,1,1,1,RedShield VPN (9)
SCLOUDPTELTD-AS Scloud Pte Ltd,9,1,1,1,FlowVPN (9)
SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd,9,6,1,1,Anonine (5); BoxPN (5); EasyHideIP (5); FrootVPN (5); Astrill (3); CactusVPN (1)
"SIAMDATA-TH Siamdata Communication Co.,Ltd.",9,2,1,1,Windscribe (6); VPN Jantit (3)
